date	volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrg	rflr	rclg	rrg_ch
2017-12-05 08:00:00	384400	12.68	12.15	12.3	12.41	12.41	ALK.MI	12.3	12.68	12.15	12.41						0																															
2017-12-06 08:00:00	163600	12.94	12.12	12.32	12.68	12.68	ALK.MI	12.38	13.0	12.18	12.74						0																															
2017-12-07 08:00:00	104000	13.4	12.64	12.86	12.86	12.86	ALK.MI	12.83	13.37	12.62	12.83						0							13.4											13.4		13.37											
2017-12-08 08:00:00	24400	13.11	12.65	12.86	12.93	12.93	ALK.MI	12.66	12.9	12.45	12.73						0																															
2017-12-11 08:00:00	21200	12.9	12.73	12.89	12.73	12.73	ALK.MI	12.73	12.74	12.58	12.58						0																															
2017-12-12 08:00:00	11600	12.78	12.44	12.77	12.52	12.52	ALK.MI	12.6	12.61	12.27	12.35						0								12.44													12.27										
2017-12-13 08:00:00	19200	12.7	12.47	12.69	12.6	12.6	ALK.MI	12.7	12.71	12.48	12.61						0							12.7																								
2017-12-14 08:00:00	22400	12.79	12.49	12.79	12.49	12.49	ALK.MI	12.92	12.92	12.62	12.62						0																				12.92											
2017-12-15 08:00:00	10000	12.59	12.49	12.49	12.5	12.5	ALK.MI	12.67	12.77	12.67	12.68						0																															
2017-12-18 08:00:00	6200	12.6	12.41	12.42	12.44	12.44	ALK.MI	12.43	12.61	12.42	12.45						0								12.41		12.41											12.42										
2017-12-19 08:00:00	3000	12.59	12.42	12.45	12.57	12.57	ALK.MI	12.53	12.67	12.5	12.65						0																															
2017-12-20 08:00:00	13200	12.94	12.5	12.58	12.5	12.5	ALK.MI	12.75	13.12	12.67	12.67						0							12.94		12.94											13.12		13.12									
2017-12-21 08:00:00	1600	12.63	12.44	12.5	12.6	12.6	ALK.MI	12.6	12.73	12.54	12.7						0								12.44													12.54										
2017-12-22 08:00:00	19600	12.84	12.5	12.59	12.7	12.7	ALK.MI	12.71	12.96	12.62	12.82						0							12.84													12.96											
2017-12-27 08:00:00	2200	12.85	12.51	12.85	12.55	12.55	ALK.MI	12.97	12.97	12.63	12.67						0																															
2017-12-28 08:00:00	13600	12.6	12.44	12.49	12.53	12.53	ALK.MI	12.66	12.77	12.61	12.7						0																					12.61										
2017-12-29 08:00:00	1000	12.5	12.39	12.41	12.42	12.42	ALK.MI	12.73	12.82	12.71	12.74						0								12.39																							
2018-01-02 08:00:00	800	12.59	12.5	12.5	12.51	12.51	ALK.MI	12.83	12.92	12.83	12.84						0							12.59													12.92											
2018-01-03 08:00:00	1000	12.51	12.36	12.36	12.51	12.51	ALK.MI	12.65	12.8	12.65	12.8						0																															
2018-01-04 08:00:00	4400	12.5	12.1	12.26	12.37	12.37	ALK.MI	12.21	12.45	12.05	12.32					-1.0	0								12.1		12.1		12.1																			
2018-01-05 08:00:00	2400	12.55	12.34	12.34	12.36	12.36	ALK.MI	12.15	12.36	12.15	12.17					-1.0	0																					12.15										
2018-01-08 08:00:00	14000	12.55	12.37	12.38	12.5	12.5	ALK.MI	12.15	12.31	12.14	12.26					-1.0	0																				12.31											
2018-01-09 08:00:00	3600	12.6	12.44	12.59	12.44	12.44	ALK.MI	12.27	12.28	12.12	12.12					-1.0	0							12.6																								
