date	volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrt	rrg	rflr	rclg	rrg_ch
2016-01-04 08:00:00	1100	7.21	7.14	7.21	7.14	6.05	OJM.MI	7.21	7.21	7.14	7.14						0																																
2016-01-05 08:00:00	4301	7.49	7.0	7.2	7.3	6.19	OJM.MI	7.11	7.4	6.92	7.22						0																																
2016-01-06 08:00:00	1	7.3	7.3	7.3	7.3	6.19	OJM.MI	7.41	7.41	7.41	7.41						0							7.3													7.41												
2016-01-07 08:00:00	7595	7.32	7.14	7.14	7.15	6.06	OJM.MI	7.33	7.52	7.33	7.34						0								7.14													7.33											
2016-01-08 08:00:00	3698	7.35	7.2	7.2	7.34	6.22	OJM.MI	7.51	7.67	7.51	7.66						0							7.35													7.67												
2016-01-11 08:00:00	14065	7.35	7.18	7.35	7.22	6.12	OJM.MI	7.71	7.71	7.53	7.57						0																																
2016-01-12 08:00:00	500	7.2	7.2	7.2	7.2	6.1	OJM.MI	7.48	7.48	7.48	7.48						0								7.2													7.48											
2016-01-13 08:00:00	18953	7.34	7.25	7.34	7.25	6.15	OJM.MI	7.56	7.56	7.46	7.46						0							7.34																									
2016-01-14 08:00:00	16401	7.25	7.25	7.25	7.25	6.15	OJM.MI	7.59	7.59	7.59	7.59						0								7.25																								
2016-01-15 08:00:00	2785	7.31	7.25	7.25	7.31	6.2	OJM.MI	7.83	7.9	7.83	7.9						0							7.31																									
2016-01-18 08:00:00	15548	7.25	7.15	7.25	7.25	6.15	OJM.MI	8.04	8.04	7.93	8.04						0																				8.04												
2016-01-19 08:00:00	250	7.18	7.16	7.18	7.16	6.07	OJM.MI	7.88	7.88	7.86	7.86						0																					7.86											
2016-01-20 08:00:00	577	7.05	7.0	7.0	7.05	5.98	OJM.MI	8.08	8.14	8.08	8.14						0								7.0												8.14												
2016-01-21 08:00:00	37294	7.15	6.91	7.0	7.14	6.06	OJM.MI	7.75	7.92	7.66	7.91						0																					7.66		7.66									
2016-01-22 08:00:00	5965	7.35	7.1	7.2	7.28	6.17	OJM.MI	7.85	8.01	7.74	7.93						0																																
2016-01-25 08:00:00	4574	7.5	7.3	7.35	7.5	6.36	OJM.MI	8.18	8.34	8.12	8.34						0																		7.5		8.34												
2016-01-26 08:00:00	41381	7.5	7.49	7.5	7.49	6.35	OJM.MI	8.22	8.22	8.21	8.21						0							7.5		7.5												8.21											
2016-01-27 08:00:00	0	7.49	7.49	7.49	7.49	6.35	OJM.MI	8.24	8.24	8.24	8.24						0																																
2016-01-28 08:00:00	30819	7.41	7.32	7.41	7.32	6.21	OJM.MI	8.45	8.45	8.35	8.35						0																				8.45		8.45										
2016-01-29 08:00:00	134600	7.3	7.26	7.3	7.28	6.17	OJM.MI	8.11	8.11	8.07	8.08						0																					8.07		8.07									
2016-02-01 08:00:00	751	7.24	7.22	7.24	7.22	6.12	OJM.MI	8.12	8.12	8.1	8.1						0																																
2016-02-02 08:00:00	5016	7.22	6.91	7.07	6.97	5.91	OJM.MI	8.18	8.35	7.99	8.06						0																																
2016-02-03 08:00:00	1639	7.04	6.82	7.04	6.91	5.86	OJM.MI	8.38	8.38	8.12	8.23						0																				8.38												
2016-02-04 08:00:00	1479	6.91	6.91	6.91	6.91	5.85	OJM.MI	8.13	8.13	8.12	8.12						0																					8.12											
2016-02-05 08:00:00	10212	6.91	6.9	6.91	6.9	5.85	OJM.MI	8.31	8.31	8.29	8.29						0																																
2016-02-08 08:00:00	2313	6.77	6.66	6.77	6.66	5.65	OJM.MI	8.54	8.54	8.41	8.41					1.0	0																																
2016-02-09 08:00:00	27132	6.8	6.59	6.74	6.7	5.68	OJM.MI	8.79	8.86	8.59	8.73					1.0	0																				8.86		8.86										
2016-02-10 08:00:00	9318	6.75	6.53	6.7	6.53	5.53	OJM.MI	8.31	8.37	8.09	8.09					1.0	0								6.53		6.53											8.09		8.09									
2016-02-11 08:00:00	4649	6.8	6.4	6.4	6.6	5.6	OJM.MI	8.41	8.94	8.41	8.68					1.0	0																																
2016-02-12 08:00:00	17325	7.05	6.74	6.74	6.98	5.92	OJM.MI	8.47	8.85	8.47	8.76					1.0	0							7.05													8.85												
2016-02-15 08:00:00	955	7.05	6.7	7.05	6.7	5.68	OJM.MI	8.58	8.58	8.15	8.15					1.0	0																																
2016-02-16 08:00:00	95299	6.7	6.7	6.7	6.7	5.68	OJM.MI	8.19	8.19	8.19	8.19					1.0	0								6.7													8.19											
2016-02-17 08:00:00	800	7.0	6.85	6.85	7.0	5.94	OJM.MI	8.17	8.35	8.17	8.35					1.0	0																																
2016-02-18 08:00:00	1900	7.32	7.16	7.16	7.3	6.19	OJM.MI	8.67	8.86	8.67	8.85					1.0	0																																
2016-02-19 08:00:00	0	7.3	7.3	7.3	7.3	6.19	OJM.MI	8.95	8.95	8.95	8.95					1.0	0							7.3		7.3											8.95		8.95		8.95								
2016-02-22 08:00:00	9230	7.3	6.98	7.3	7.14	6.05	OJM.MI	8.65	8.65	8.27	8.45					1.0	0																																
2016-02-23 08:00:00	950	7.0	6.97	7.0	6.97	5.91	OJM.MI	8.46	8.46	8.43	8.43					1.0	0																					8.43											
2016-02-24 08:00:00	3554	7.0	6.68	6.82	7.0	5.94	OJM.MI	8.46	8.68	8.28	8.68					1.0	0								6.68		6.68										8.68												
2016-02-25 08:00:00	0	7.0	7.0	7.0	7.0	5.94	OJM.MI	8.49	8.49	8.49	8.49					1.0	0							7.0																									
2016-02-26 08:00:00	12071	6.95	6.84	6.95	6.95	5.89	OJM.MI	8.24	8.24	8.12	8.24					1.0	0								6.84																								
2016-02-29 08:00:00	8514	6.98	6.8	6.95	6.98	5.92	OJM.MI	8.18	8.21	7.99	8.21					1.0	0																					7.99											
2016-03-01 08:00:00	4104	7.26	7.02	7.02	7.2	6.1	OJM.MI	8.08	8.35	8.08	8.29					1.0	0							7.26		7.26											8.35												
2016-03-02 08:00:00	2500	7.16	7.1	7.1	7.1	6.02	OJM.MI	8.09	8.15	8.09	8.09					1.0	0																																
2016-03-03 08:00:00	1290	7.1	7.1	7.1	7.1	6.02	OJM.MI	8.02	8.02	8.02	8.02					1.0	0																																
2016-03-04 08:00:00	6109	7.1	6.98	7.1	7.09	6.02	OJM.MI	8.05	8.05	7.92	8.05					-1.0	0																					7.92											
2016-03-07 08:00:00	455	7.08	6.97	6.97	7.08	6.0	OJM.MI	8.01	8.13	8.01	8.13					-1.0	0								6.97																								
