date	volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrg	rflr	rclg	rrg_ch
2016-07-26 07:00:00	73776221	3.71	3.55	3.6	3.65	2.6	ENAV.MI	3.6	3.71	3.55	3.65						0																															
2016-07-27 07:00:00	8746746	3.69	3.59	3.67	3.65	2.6	ENAV.MI	3.64	3.65	3.56	3.61						0																					3.56										
2016-07-28 07:00:00	8182968	3.65	3.54	3.6	3.59	2.56	ENAV.MI	3.64	3.69	3.57	3.63						0																				3.69											
2016-07-29 07:00:00	6798460	3.64	3.54	3.6	3.56	2.53	ENAV.MI	3.57	3.61	3.51	3.53						0								3.54													3.51		3.51								
2016-08-01 07:00:00	4016992	3.66	3.54	3.56	3.66	2.6	ENAV.MI	3.59	3.69	3.57	3.69						0																															
2016-08-02 07:00:00	3592063	3.7	3.61	3.67	3.7	2.64	ENAV.MI	3.8	3.84	3.74	3.84						0																															
2016-08-03 07:00:00	2256529	3.72	3.66	3.71	3.7	2.64	ENAV.MI	3.84	3.85	3.78	3.83						0																															
2016-08-04 07:00:00	3631224	3.79	3.7	3.71	3.79	2.7	ENAV.MI	3.81	3.89	3.81	3.89						0							3.79													3.89		3.89								3.89	
2016-08-05 07:00:00	883891	3.78	3.71	3.78	3.71	2.64	ENAV.MI	3.8	3.8	3.72	3.73						0																															
2016-08-08 07:00:00	2186928	3.74	3.64	3.74	3.71	2.64	ENAV.MI	3.73	3.73	3.63	3.7						0																															
2016-08-09 07:00:00	1077176	3.74	3.67	3.72	3.67	2.61	ENAV.MI	3.7	3.72	3.65	3.65						0								3.67													3.65										
2016-08-10 07:00:00	1874026	3.73	3.64	3.67	3.73	2.65	ENAV.MI	3.65	3.7	3.62	3.7						0																															
2016-08-11 07:00:00	2690138	3.77	3.67	3.72	3.77	2.69	ENAV.MI	3.66	3.71	3.61	3.71						0																															
2016-08-12 07:00:00	910155	3.77	3.74	3.75	3.75	2.67	ENAV.MI	3.69	3.7	3.68	3.68						0							3.77													3.7											
